Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
3160,000;597,83215;352,37999;169,64166;228,45111;706,93739;759,74988;1252,4771;297,42935;592,36516;
3158,000;688,99539;602,37355;-225,53763;19,913876;668,09001;227,6352;2543,157;21,989176;-239,95077;
3156,000;-106,19028;335,44165;247,81656;255,31035;634,98523;465,4874;353,63939;189,27885;564,75039;
3154,000;287,95088;626,29668;93,826133;436,86787;74,279422;114,51726;718,51227;-315,5372;153,11724;
3152,000;709,15692;334,40158;371,97107;579,11998;271,82303;484,48285;700,76635;210,85657;-149,13942;
3150,000;654,43531;-155,80756;231,89487;515,03552;-192,62023;262,51352;838,98364;57,273059;452,70071;
3148,000;177,66494;281,03297;516,00839;211,42332;-52,93458;139,05513;548,16511;10,613429;93,202497;
3146,000;734,16649;-226,59006;-126,64077;50,444846;258,80269;-83,7029;850,41971;258,7188;88,805721;
3144,000;7,5358475;-15,973785;152,22008;700,19462;592,75129;518,66604;1531,3845;311,19151;26,563436;
3142,000;335,58074;345,78106;238,6258;246,70059;292,62737;-41,203967;1242,6009;82,469679;254,37023;
3140,000;490,77792;72,104746;356,4978;138,36102;283,30408;345,85729;396,23312;-265,21736;-76,318145;
3138,000;406,79657;-177,40302;3,3330958;-64,214112;168,13585;-104,47139;460,4601;-119,01951;-121,48927;
3136,000;385,497;86,801121;156,21496;98,325364;6,7254843;77,708381;1231,5302;488,30118;297,61655;
3134,000;244,09592;148,40898;275,34062;528,0166;-126,92909;-11,664997;-300,59021;111,2462;-13,452284;
3132,000;206,28835;136,1368;286,48632;121,04957;509,74411;542,3899;224,84222;198,99998;-87,734747;
3130,000;291,50757;-23,513266;-25,766457;39,96577;229,57166;259,35905;805,32248;85,722926;29,850681;
3128,000;486,14355;512,2721;267,95495;-80,754654;230,18946;473,25478;459,99083;136,49414;79,352161;
3126,000;-146,31556;486,70162;163,5372;29,492577;-293,34613;313,72311;-292,47375;32,343071;219,14152;
3124,000;-58,446324;726,82583;235,20211;-2,8489361;376,87417;-149,45103;526,16808;50,202981;528,21287;
3122,000;431,53515;96,196223;304,27571;9,510209;-148,89699;139,28272;769,85978;103,77218;-91,68358;
3120,000;311,19237;80,762876;155,9304;457,46345;146,76313;167,05566;1151,3687;112,75861;147,74188;
3118,000;315,70103;76,469776;336,13465;522,84792;112,93696;543,319;1423,1373;475,7143;174,36673;
3116,000;148,69958;337,46524;411,68754;-6,6160662;9,8325185;353,77773;683,36101;131,48023;332,75798;
3114,000;338,43793;118,49765;147,12447;142,85477;240,90716;111,67026;144,85659;204,17606;56,45907;
3112,000;316,17749;312,51983;100,97269;267,08505;255,24122;174,32736;819,74271;163,08076;191,99949;
3110,000;-97,406381;583,7288;143,7826;524,6026;319,39283;243,11892;198,9194;83,786424;200,85227;
3108,000;-6,5810653;440,56099;-10,339078;216,70761;226,0152;-5,7394397;1096,0996;120,05074;542,58648;
3106,000;68,082111;488,96713;517,21811;606,11717;323,59283;322,62136;523,54109;167,11118;412,35552;
3104,000;230,01643;573,84797;355,29112;434,56454;227,26572;182,51553;1130,2338;4,5965286;379,63683;
3102,000;285,23709;452,5119;637,47607;373,85633;189,19348;225,24404;415,45306;226,7538;443,04452;
3100,000;470,49917;514,23864;443,70618;543,84806;363,63652;245,18985;403,60027;270,00597;182,13006;
3098,000;-64,83594;786,39524;256,35469;594,23798;432,03021;278,37872;22,430899;272,33161;491,9742;
3096,000;219,9095;760,61947;546,20092;392,65254;754,07443;339,10038;320,46402;172,57522;452,36044;
3094,000;57,013357;691,07608;668,32369;442,82101;618,87163;289,91161;76,423624;331,43165;666,84645;
3092,000;272,37466;1101,9728;619,0337;513,1614;807,32536;581,69926;817,52258;120,52952;928,25398;
3090,000;303,65678;994,94521;664,14007;815,01926;737,36364;224,43729;104,95799;31,796923;747,17874;
3088,000;375,25013;1675,2412;755,18348;786,45279;1135,8828;489,4052;800,64764;228,81358;890,72995;
3086,000;373,14307;1691,7313;1263,9563;994,62761;829,59196;535,62844;1636,7255;212,91623;1130,9445;
3084,000;376,80775;2151,2414;1388,5664;1243,2227;1140,231;323,43664;904,21464;289,93729;1305,9675;
3082,000;483,97796;2669,362;1659,6467;1407,6105;1452,6249;496,05475;1549,8702;384,12142;1554,9234;
3080,000;1092,1012;2955,9504;1797,4199;1358,8123;1711,5383;502,98061;1712,0893;485,94779;2063,4162;
3078,000;738,95733;3560,7117;2196,688;1701,5951;2279,5521;641,34299;1654,6531;511,44722;2475,1919;
3076,000;904,72299;4165,2161;2553,1815;1782,6667;2352,6366;680,42163;2499,9641;491,7305;2630,8421;
3074,000;1183,3868;4458,5101;2916,8379;2094,5703;2824,1579;782,70731;3357,2589;749,21785;2874,2035;
3072,000;1088,3945;5306,3052;3351,4827;2633,7308;3086,8016;965,09472;3519,1484;643,69848;3176,735;
