Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
3080,000;-61,843136;3144,7519;1632,2798;1711,5383;2256,3768;
3078,000;66,906819;3624,4464;2073,684;2279,5521;2348,5659;
3076,000;111,63281;3983,0383;2551,7512;2352,6366;2630,2947;
3074,000;66,940203;4433,9572;2703,0981;2824,1579;3253,0952;
3072,000;306,41335;5305,9198;3126,0675;3086,8016;3437,566;
3070,000;347,84776;5612,7463;3264,0616;3270,8634;3933,8254;
3068,000;115,7837;5897,5947;3449,6536;3850,204;3721,3092;
3066,000;238,35985;6523,0275;3588,1633;3349,5785;4076,6255;
3064,000;136,56175;6659,2204;3355,4759;3492,1778;4069,6248;
3062,000;103,89735;6217,0872;3309,7617;3406,1421;4129,4212;
3060,000;153,38105;6070,5527;3738,4358;3459,0444;3880,2952;
3058,000;114,11199;5362,403;3205,4248;3348,3208;3522,1202;
3056,000;90,667017;4966,6639;2992,5069;2985,1789;3254,2306;
3054,000;82,086405;4402,5445;2757,366;2690,4442;3181,3116;
3052,000;205,6011;3791,4773;2417,2859;2639,4231;2936,6158;
3050,000;82,540701;3307,29;2554,7831;2030,2901;2537,9403;
3048,000;218,06133;2678,9539;1739,0826;1927,1755;2223,939;
3046,000;118,13635;2504,5598;1793,8164;1695,859;2286,0978;
3044,000;391,17557;2429,9783;1399,6456;1457,1679;1791,9978;
3042,000;203,20845;2199,0977;1500,0045;1477,3741;1475,4626;
3040,000;181,91664;1765,086;1374,0554;1260,8665;1596,9781;
3038,000;140,48502;1535,1529;1366,5755;1100,1828;1450,5119;
3036,000;104,65881;1866,0778;1114,5839;1159,0823;1481,0336;
3034,000;162,13312;1404,4662;824,1996;1151,0221;1256,7378;
3032,000;7,3165662;1263,0715;771,82379;766,98614;1080,0724;
3030,000;25,675651;1107,8311;960,01819;853,92165;961,05605;
3028,000;81,778014;1506,2063;855,08478;789,26618;862,26472;
3026,000;280,92572;1351,9611;828,20254;650,41328;759,30808;
3024,000;167,45122;1157,7549;650,07375;537,58876;710,20863;
3022,000;123,70641;1454,0315;653,67057;748,76513;922,46316;
3020,000;155,55253;1826,2066;486,50727;791,19586;942,20733;
3018,000;36,609255;1957,5521;713,7762;693,68842;875,94736;
3016,000;-21,797705;2371,7042;791,02921;1010,738;784,63025;
3014,000;15,519979;2922,5746;853,74845;721,54768;981,11322;
3012,000;22,247912;3439,5325;943,93415;969,25451;1041,599;
3010,000;77,590507;3660,3411;730,14654;1029,9316;1194,9218;
3008,000;86,281986;3544,6233;854,47698;986,1141;1298,4822;
3006,000;147,93115;3384,2211;1209,8713;1081,5947;1298,424;
3004,000;205,6762;2935,717;1102,289;1131,2737;1418,0457;
3002,000;47,035901;2985,867;1085,7142;1371,5367;1514,156;
3000,000;35,119184;2928,0196;1118,8171;1194,9739;1569,7834;
2998,000;189,75623;2900,9024;1305,068;1414,7931;1382,2071;
2996,000;-53,267188;2832,4974;1495,4452;1436,5744;1434,539;
2994,000;44,558014;2743,8651;1312,3389;1468,7829;1385,9086;
2992,000;264,63284;2791,6552;1531,472;1451,3983;1804,5326;
2990,000;15,40513;2460,4079;1420,4495;1369,2112;1828,6564;
2988,000;5,8966446;2627,011;1540,9509;1498,5893;1743,0004;
2986,000;-134,23373;2740,9576;1752,0154;1688,1179;1765,1748;
2984,000;43,596465;2944,4793;1656,3992;1669,4634;2082,1811;
2982,000;96,14647;2972,5922;1913,5594;1838,741;1991,3697;
2980,000;220,02143;3334,204;2055,4788;2004,5036;2427,5557;
2978,000;29,283574;3041,2072;2088,2749;2113,7409;2538,3805;
2976,000;100,75485;2948,2443;2169,2528;2121,1273;2549,9369;
2974,000;84,760609;3117,543;2336,8607;2356,9621;2397,0444;
2972,000;70,766912;3103,3087;2143,7763;2586,2905;2344,2739;
2970,000;78,027813;3221,7091;2190,6005;2316,9756;2478,969;
2968,000;120,18114;3476,0296;2360,3141;2414,8793;2418,1026;
2966,000;109,08585;3241,7088;2420,0817;2408,7914;2752,039;
2964,000;163,54811;3672,7667;2186,1321;2337,7304;2802,5531;
2962,000;32,299543;3622,8938;2583,0938;2313,8612;2939,5024;
2960,000;69,15105;3027,7194;2349,1323;2477,2296;2994,0119;
2958,000;130,87948;3202,5595;2702,1792;2750,2923;3141,0595;
2956,000;36,054049;3615,7319;2714,2854;2563,5238;2729,0211;
2954,000;82,017575;3346,3404;2534,3417;2645,4792;2947,1265;
2952,000;98,205671;3201,7106;2994,547;2859,2302;3278,6778;
2950,000;13,164044;3230,2564;2758,6223;2916,8424;3284,5205;
2948,000;116,07524;3085,913;3031,9061;2799,4888;3432,8018;
2946,000;98,908443;3054,8784;2986,3556;2987,5357;3226,6161;
2944,000;170,16264;3646,2196;3060,7425;2989,1216;3466,2391;
2942,000;160,4672;3288,8993;2944,8058;3093,3323;3261,6259;
2940,000;4,5996074;3437,8128;3166,1823;3204,0381;3382,3421;
2938,000;9,9918306;3653,1281;2852,5746;2946,7616;3351,3207;
2936,000;134,88536;3958,2536;2831,6727;3113,5422;3336,2252;
2934,000;133,07675;4176,1272;2890,4382;2997,639;3376,5185;
2932,000;68,072375;4980,3858;2994,642;2998,101;3409,7344;
