Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
3278,000;0,049010553;0,063907345;0,0084228758;0,098886966;0,081688894;0,01696187;0,0076232926;-0,012977503;0,1933141;
3276,000;-0,012094295;0,099186785;0,05748634;0,15676251;0,072712881;0,20700736;0,023096304;0,7106361;0,099243297;
3274,000;0,047384192;0,091929816;0,04673485;0,097383635;0,018368593;0,60719772;0,040978134;0,28068191;0,10172406;
3272,000;0,02855446;0,072072904;0,084453157;0,13674451;0,06468848;-0,051035379;0,0060996672;0,5050942;0,096673993;
3270,000;-0,0037154463;0,013892203;0,0013685046;0,11147755;0,077245715;0,3504113;0,0041393601;0,41197888;0,028488172;
3268,000;0,030414111;0,07416167;0,014929276;0,1219579;0,098210626;0,60587266;0,016800962;-0,20653771;0,14773598;
3266,000;0,038952187;0,063410439;0,091948952;0,082462701;0,087290095;0,69699348;0,035041626;0,40317177;0,1459178;
3264,000;0,032762353;0,067457319;0,067245827;0,054165764;0,062261455;0,42538763;0,02841423;0,20999416;0,095549578;
3262,000;0,048005492;0,046152073;0,1061943;0,053200176;0,097225475;0,43283826;0,0021261868;0,072763932;0,13933298;
3260,000;0,072355949;0,046821471;0,066734441;0,12736752;0,064599396;0,23723542;0,0023365806;0,57613368;0,1223336;
3258,000;0,032070134;0,059527889;0,061868379;0,09464078;0,052548599;0,065688899;-0,0031791819;0,45128785;0,12147426;
3256,000;0,028205852;0,07588813;0,029393358;0,00020295246;0,058479055;0,13474955;0,040777029;0,3127179;0,12399521;
3254,000;0,020303368;0,12948583;0,095471418;0,0187409;0,046187074;0,20099083;0,020561783;0,29206151;0,11977136;
3252,000;0,012891828;0,023923094;0,0083968291;0,10091766;0,066635865;0,32024788;0,037085799;0,42935678;0,076112878;
3250,000;0,064954491;-0,0069011614;0,033056247;0,005205006;0,098147607;0,22240596;0,022300752;0,5877446;0,080730537;
3248,000;0,026832427;0,065654802;0,055650988;0,01696068;0,025583229;0,55593597;0,018356116;0,41871111;0,11272917;
3246,000;0,023955623;0,082743825;0,042339892;0,10194623;0,079495891;0,11655762;0,021539535;0,37845947;0,12710191;
3244,000;0,050903447;0,041890842;0,070089159;0,088701052;0,04425176;0,2740347;0,013572051;0,68310052;0,16264948;
3242,000;-0,0063790713;0,10475794;0,049659404;0,07935847;0,053245705;0,43458159;0,01510224;0,73989556;0,068407139;
3240,000;0,034081615;0,06365972;0,048584418;0,16245169;0,033356096;0,31582192;-0,024332526;0,54993807;0,03343985;
3238,000;0,011594761;0,039300207;0,065103663;0,11907867;0,064942445;0,16918169;0,035753579;0,14075001;0,13070383;
