Raman shift [1/cm];SA-thermal-after-120C.sp;SB-thermal-after-120C.SP;SC-thermal-after-120C.sp;SD-thermal-after-120C.sp;SE-thermal-after-120C.sp;SF-thermal-after-120C.sp;SG-thermal-after-120C.sp;SH-thermal-after-120C.sp;SI-thermal-after-120C.sp;
3180,000;0,44917335;0,92670569;1,0132392;6,4394906;2,1986593;4,151325;-1,0484119;0,10832183;1,7892092;
3178,000;0,15755577;0,26401873;-1,6322062;0,54608071;2,0513665;0,42445127;-0,25959958;2,4897473;0,014903531;
3176,000;-0,74082024;2,1523679;1,3188858;0,67415625;-0,64820354;3,8845731;-0,7023746;4,7885583;0,71486144;
3174,000;-0,92740964;-1,4097413;2,4573423;5,7041023;1,5449809;-3,5699993;-0,78028325;-2,1274127;1,1563714;
3172,000;-0,14368011;0,48305428;2,8349346;3,8389011;3,5397609;-1,6675531;-1,1949808;2,5404398;1,9873421;
3170,000;-0,73300988;-0,10100429;-1,225454;-0,22069831;2,250877;2,1045421;-1,0099083;-0,028377777;2,5509594;
3168,000;-0,19494674;-1,0613818;-2,1043593;3,2425297;1,9856686;-7,1271657;-1,0930783;3,765322;0,81259152;
3166,000;-0,72362812;2,1810182;3,2438892;3,8614382;3,8787414;-4,9606904;-0,92425061;1,0632811;1,5306571;
3164,000;-1,3719067;-1,1408793;3,887503;5,6762559;0,73610058;1,9201331;-0,96560165;0,78415096;0,20155568;
3162,000;-1,0065656;-0,18931495;8,5239585;3,9121354;2,4654183;-0,29711587;-0,39932708;-1,1973988;0,93807499;
3160,000;-0,25293656;-0,25846802;1,7823877;2,5505729;2,2356954;7,7287533;-0,79943069;2,8204756;2,2441541;
3158,000;-0,13472777;0,55860893;-1,6504552;0,56799672;3,7769431;0,14836751;-0,32064162;-0,44208903;-0,72426883;
3156,000;-1,1978234;-1,0286124;2,4848057;2,779256;0,91480696;3,5478458;-1,1396684;1,5460102;2,1442353;
3154,000;-0,67581299;-0,68744187;1,1537493;4,4818994;2,0345534;-1,4493867;-1,0061261;-4,4367094;0,67579342;
3152,000;-0,11773113;1,3675497;3,5881726;5,8132251;1,4939571;3,8340518;-1,0152679;1,8101749;-0,40265705;
3150,000;-0,19395416;0,78179219;2,37836;5,1952922;2,578728;0,67639374;-0,96624872;-0,0056578876;1,7425284;
3148,000;-0,83267358;-0,41238266;4,8647915;2,3145442;3,0735354;-1,0764809;-1,0772232;-0,55226679;0,45997817;
3146,000;-0,094273131;2,2528158;-0,72427;0,78125494;0,33860755;-4,2453861;-0,96703219;2,3968814;0,44357308;
3144,000;-1,0660003;-0,13930808;1,7163916;6,9069038;1,8108333;4,3521655;-0,71561467;3,0259297;0,22091479;
3142,000;-0,63208137;1,2419265;2,480065;2,6102244;1,0310639;-3,6240162;-0,82583031;0,32015934;1,0324518;
3140,000;-0,4285297;-0,25841074;3,5194169;1,5742141;2,1809983;1,9032097;-1,1439771;-3,7957375;-0,14737446;
3138,000;-0,54374941;0,65715953;0,4543161;-0,3520382;0,23229694;-4,5108933;-1,12255;-2,0544205;-0,30916404;
3136,000;-0,57542835;2,7279615;1,798732;1,170942;1,9418153;-1,8928934;-0,83741194;5,1580097;1,1844663;
3134,000;-0,76717568;1,8767726;2,849008;5,2177011;1,9804391;-3,1472896;-1,4104993;0,69658837;0,075973853;
3132,000;-0,82085608;-1,5009258;2,96126;1,3611018;2,0755913;4,7782445;-1,2162956;1,7475533;-0,18745894;
3130,000;-0,71056934;-1,1025956;0,25552824;0,58348496;2,2390747;0,76678767;-1,0015638;0,41439874;0,23322995;
3128,000;-0,45441556;0,13920462;2,8300484;-0,56738432;2,7095257;3,8415917;-1,1313252;1,02677;0,41375456;
3126,000;-1,2998794;0,52557254;1,9353199;0,47231698;1,265466;1,591255;-1,4129124;-0,19815523;0,91620846;
